Geneid	Chr	Start	End	Strand	Length	fm_1	fm_2	fm_3	m_4	m_5	m_6
WBGene00020088	I	368270	373465	-	5196	3	0	3	1	1	2
WBGene00020089	I	373571	379073	-	5503	2	0	1	0	0	3
WBGene00004143	I	379071	381902	-	2832	42	31	55	28	19	30
WBGene00006385	I	382826	388564	+	5739	2	2	1	1	1	0
WBGene00020090	I	388470	394415	-	5946	1	2	0	1	0	0
WBGene00021733	I	398891	412918	+	14028	1	2	4	2	2	4
WBGene00021734	I	412860	418677	-	5818	0	0	0	0	0	0
WBGene00015570	I	420922	423713	+	2792	0	0	0	0	0	0
WBGene00006593	I	444003	461605	+	17603	4	2	2	0	3	1
WBGene00021026	I	461995	462651	+	657	2	2	3	0	2	1
WBGene00021027	I	462606	467137	-	4532	0	0	0	0	0	0
WBGene00021025	I	477582	482028	+	4447	0	0	0	0	0	0
WBGene00235388	I	481961	483880	-	1920	0	0	0	0	0	0
WBGene00021028	I	484039	488392	-	4354	1	0	0	0	0	0
WBGene00021024	I	488607	489905	+	1299	1	3	2	3	5	2
WBGene00001814	I	489969	496158	+	6190	2	1	1	2	3	3
WBGene00022035	I	496144	502042	-	5899	0	0	0	0	0	0
WBGene00022036	I	502891	506250	-	3360	6	0	1	3	0	1
WBGene00022034	I	506473	509056	+	2584	11	13	15	13	4	3
WBGene00022039	I	508948	511238	-	2291	5	1	6	1	3	2
WBGene00022037	I	511044	519646	-	8603	37	19	27	9	7	4
WBGene00022038	I	520109	521554	-	1446	0	0	0	1	0	0
WBGene00022033	I	530969	532418	+	1450	0	0	0	0	0	0
WBGene00302974	I	531725	533084	+	1360	0	0	0	1	0	0
WBGene00022043	I	534455	535344	+	890	1	1	3	1	0	1
WBGene00022042	I	535791	536587	+	797	46	46	46	29	35	36
WBGene00007009	I	537122	542204	+	5083	14	16	9	11	7	15
WBGene00004235	I	550696	556709	+	6014	5	2	1	2	3	4
WBGene00002393	I	557375	561671	+	4297	0	0	0	0	0	0
WBGene00022040	I	562736	565184	+	2449	0	0	0	0	0	0
WBGene00000434	I	565284	566588	-	1305	0	0	0	0	0	0
WBGene00001725	I	572173	575120	-	2948	1	0	2	1	1	0
WBGene00044427	I	582211	583729	-	1519	0	0	0	0	0	0
WBGene00235390	I	585119	585376	+	258	1	0	0	0	0	0
WBGene00002040	I	585807	607571	-	21765	1	1	1	0	2	1
WBGene00018923	I	614651	629444	-	14794	2	4	1	3	1	0
WBGene00018921	I	618160	621490	+	3331	0	0	0	0	1	0
WBGene00022028	I	621559	624439	+	2881	0	1	0	0	0	0
WBGene00022029	I	629465	636345	-	6881	8	7	6	5	5	2
WBGene00022027	I	636804	637852	+	1049	3	2	1	6	0	0
WBGene00022026	I	638129	653988	+	15860	0	0	0	0	2	1
WBGene00022030	I	645626	647242	-	1617	0	0	0	0	1	0
WBGene00022025	I	654090	659586	+	5497	4	2	3	1	0	0
WBGene00022031	I	659565	663610	-	4046	0	0	1	2	1	0
WBGene00022032	I	664387	666902	-	2516	0	0	0	5	2	2
WBGene00044461	I	667540	674413	-	6874	0	0	0	0	0	0
WBGene00021215	I	673165	683472	+	10308	0	0	0	2	3	2
WBGene00021214	I	683724	686599	-	2876	0	0	0	3	1	0
WBGene00021207	I	688257	691332	+	3076	0	0	0	0	3	1
WBGene00021210	I	692020	694948	-	2929	0	2	0	1	3	0
WBGene00021208	I	694976	698324	-	3349	1	1	1	2	0	0
WBGene00021209	I	700278	715875	-	15598	3	3	7	2	0	2
WBGene00004332	I	717890	719944	-	2055	3	0	1	0	0	0
WBGene00004028	I	719929	731078	+	11150	1	1	3	1	1	0
WBGene00044434	I	731008	736562	-	5555	0	0	0	3	2	0
WBGene00236789	I	740801	741885	+	1085	0	0	0	0	0	0
WBGene00000623	I	741878	747213	-	5336	0	0	0	0	0	0
WBGene00000624	I	745888	748288	+	2401	0	0	0	0	0	0
WBGene00021213	I	748210	757010	-	8801	0	0	0	0	0	0
WBGene00021212	I	757298	760447	+	3150	0	0	0	5	3	3
WBGene00020282	I	760848	761849	-	1002	0	0	0	2	1	1
WBGene00020283	I	763478	770720	+	7243	0	0	0	0	0	0
WBGene00020281	I	770892	776369	+	5478	0	0	0	0	1	0
WBGene00022518	I	803368	834765	+	31398	0	1	1	0	3	2
WBGene00022517	I	837996	841746	+	3751	0	0	0	0	1	0
WBGene00022519	I	841742	846763	-	5022	0	0	1	0	0	2
WBGene00022388	I	853451	872827	+	19377	6	5	5	3	1	2
WBGene00022389	I	872755	882713	-	9959	3	1	1	0	0	1
WBGene00022386	I	882918	890211	+	7294	0	0	0	0	2	1
WBGene00022390	I	889767	895099	-	5333	0	1	1	1	2	3
WBGene00001678	I	897286	907370	+	10085	5	1	3	6	1	5
WBGene00022385	I	907448	911189	+	3742	0	0	0	1	2	1
WBGene00022391	I	912332	926916	-	14585	0	0	0	0	1	0
WBGene00003548	I	938483	947710	+	9228	1	0	0	1	1	0
WBGene00003238	I	948569	957456	-	8888	0	2	1	1	2	1
WBGene00018787	I	963692	969457	-	5766	1	0	0	0	0	0
WBGene00018788	I	969088	976560	-	7473	2	1	0	0	0	0
WBGene00018786	I	989671	992178	+	2508	0	1	0	1	0	0
WBGene00016932	I	995781	1005640	+	9860	0	0	0	0	0	0
WBGene00016931	I	1006177	1011450	+	5274	0	0	0	0	0	0
WBGene00016930	I	1011371	1014455	-	3085	0	0	0	0	0	0
WBGene00236808	I	1015195	1015742	-	548	0	0	0	0	0	0
WBGene00005002	I	1016405	1017176	+	772	11	15	14	19	33	36
WBGene00021335	I	1018843	1019157	+	315	0	1	1	3	1	2
WBGene00021327	I	1019827	1029910	-	10084	6	3	2	3	2	0
WBGene00004952	I	1030633	1033436	-	2804	4	3	3	2	2	0
WBGene00021329	I	1034443	1041047	+	6605	4	1	4	2	0	1
WBGene00021332	I	1041472	1049600	+	8129	4	4	4	2	1	0
WBGene00021331	I	1049596	1050727	+	1132	1	3	1	1	3	0
WBGene00021333	I	1050651	1053826	-	3176	0	0	0	0	0	0
WBGene00021334	I	1053894	1066899	-	13006	3	6	4	7	6	5
WBGene00021328	I	1062293	1065297	+	3005	0	0	0	0	1	0
WBGene00001745	I	1068484	1074343	+	5860	1	1	0	1	0	0
WBGene00019909	I	1077425	1088589	+	11165	0	0	0	0	1	2
WBGene00044895	I	1088514	1089742	+	1229	0	0	0	0	0	1
WBGene00019911	I	1089648	1095796	-	6149	2	0	0	1	0	0
WBGene00022838	I	1107578	1112303	+	4726	0	0	0	0	0	0
WBGene00236809	I	1112418	1115564	+	3147	0	0	0	0	0	0
WBGene00022837	I	1128324	1131765	+	3442	0	0	0	0	0	0
WBGene00021689	I	1136366	1154388	-	18023	4	2	4	1	1	2
WBGene00000165	I	1154514	1156020	-	1507	7	4	7	2	0	2
WBGene00004429	I	1156579	1157487	+	909	51	66	66	32	54	48
WBGene00021687	I	1157571	1162923	+	5353	1	0	0	1	0	0
WBGene00001816	I	1162880	1175809	-	12930	1	0	1	0	1	0
WBGene00004880	I	1176473	1190829	+	14357	3	3	6	10	9	4
WBGene00021686	I	1193158	1211376	+	18219	6	4	9	6	6	2
WBGene00021685	I	1211485	1254719	+	43235	7	10	4	10	4	9
WBGene00195068	I	1214964	1217345	-	2382	0	0	0	0	0	0
WBGene00021690	I	1218427	1219002	-	576	0	0	0	0	0	0
WBGene00021691	I	1223948	1229322	-	5375	4	8	0	6	3	6
WBGene00021692	I	1254770	1258169	+	3400	0	1	0	1	0	0
WBGene00001707	I	1258201	1268155	-	9955	0	0	0	0	1	2
WBGene00271777	I	1271516	1273033	+	1518	0	0	0	0	0	0
WBGene00021693	I	1282101	1285435	+	3335	0	0	0	0	0	0
WBGene00021694	I	1287304	1287959	+	656	0	0	0	0	0	1
WBGene00003400	I	1305562	1328648	+	23087	2	3	0	5	3	2
WBGene00044896	I	1332698	1334077	+	1380	0	0	0	1	0	0
WBGene00019674	I	1335321	1336867	+	1547	0	0	0	0	0	0
WBGene00045052	I	1337016	1338216	+	1201	0	0	0	1	0	0
WBGene00045053	I	1338784	1339773	+	990	0	0	0	0	0	1
WBGene00004888	I	1340678	1341265	+	588	18	15	7	5	3	3
WBGene00019673	I	1341272	1344692	-	3421	8	5	5	5	3	7
WBGene00022363	I	1348503	1359643	+	11141	1	3	3	4	2	3
WBGene00022366	I	1365303	1376409	+	11107	2	0	1	3	0	1
WBGene00303097	I	1365336	1365398	+	63	0	0	0	0	0	0
WBGene00305050	I	1376942	1379341	-	2400	0	0	0	1	0	0
WBGene00022365	I	1383462	1385057	-	1596	1	1	0	0	0	0
WBGene00022367	I	1389248	1392759	-	3512	0	0	0	0	0	0
WBGene00022372	I	1393046	1402975	+	9930	2	1	1	1	1	0
WBGene00022371	I	1405935	1413100	+	7166	2	0	0	0	0	1
WBGene00022368	I	1413917	1415807	-	1891	1	3	1	1	3	0
WBGene00022369	I	1416582	1425201	+	8620	13	12	7	5	7	6
WBGene00022373	I	1436279	1441334	+	5056	1	1	2	1	1	1
WBGene00018159	I	1442048	1443944	-	1897	0	3	1	0	1	2
WBGene00004969	I	1446497	1465358	+	18862	0	0	1	27	16	18
WBGene00001773	I	1451081	1453070	-	1990	0	0	0	0	0	0
WBGene00018580	I	1465597	1469593	+	3997	0	0	0	2	3	3
WBGene00018579	I	1471075	1479923	+	8849	0	0	0	0	0	1
WBGene00001115	I	1483083	1490498	+	7416	0	0	0	0	0	0
WBGene00022361	I	1490431	1514417	-	23987	5	3	5	2	0	3
WBGene00022360	I	1514755	1540926	+	26172	1	1	2	0	1	1
WBGene00022358	I	1543525	1556196	+	12672	1	1	1	7	2	4
WBGene00005077	I	1567602	1580208	+	12607	3	5	6	0	2	1
WBGene00022270	I	1581394	1593674	+	12281	0	0	0	1	1	0
WBGene00022271	I	1594649	1596216	-	1568	0	0	0	1	2	0
WBGene00022269	I	1601838	1607219	+	5382	1	2	0	0	0	1
WBGene00022273	I	1607705	1610041	-	2337	0	2	1	1	0	0
WBGene00044440	I	1610390	1621335	+	10946	2	2	5	1	1	0
WBGene00000269	I	1621314	1628486	-	7173	0	1	1	2	1	2
WBGene00022268	I	1629003	1633498	+	4496	3	1	2	6	1	3
WBGene00022274	I	1634569	1644115	+	9547	0	0	0	0	0	0
WBGene00003111	I	1644588	1651457	-	6870	1	0	2	1	0	0
WBGene00022156	I	1652876	1655459	+	2584	0	0	0	0	0	0
WBGene00004168	I	1655616	1656763	-	1148	0	0	0	0	1	0
WBGene00044358	I	1657513	1663331	-	5819	0	0	0	2	0	0
WBGene00022157	I	1663402	1667582	-	4181	0	0	0	1	0	1
WBGene00022155	I	1667501	1669792	+	2292	0	0	0	2	5	1
WBGene00022158	I	1670033	1672742	-	2710	0	0	0	0	0	0
WBGene00185098	I	1672853	1676438	-	3586	0	0	0	0	0	0
WBGene00022154	I	1680446	1685203	+	4758	0	0	0	1	0	0
WBGene00044348	I	1686216	1693457	-	7242	0	0	0	0	0	0
WBGene00006702	I	1698349	1701128	+	2780	7	8	8	3	3	1
WBGene00003080	I	1701361	1701808	+	448	4	0	1	0	0	0
WBGene00022153	I	1702105	1708553	+	6449	2	1	1	1	2	2
WBGene00022152	I	1709587	1715564	+	5978	0	2	1	0	1	0
WBGene00006771	I	1721590	1740692	+	19103	6	1	1	6	4	6
WBGene00022159	I	1740641	1751055	-	10415	0	2	5	2	1	2
WBGene00022150	I	1751481	1754410	+	2930	6	1	2	2	1	1
WBGene00022149	I	1755329	1766400	+	11072	6	2	4	1	1	1
WBGene00022148	I	1767887	1790157	+	22271	6	1	5	1	3	2
WBGene00022160	I	1771367	1775933	-	4567	0	0	0	0	2	0
WBGene00022161	I	1779754	1782594	-	2841	0	0	0	0	0	0
WBGene00022146	I	1793254	1796424	+	3171	0	2	1	0	2	0
WBGene00022162	I	1797435	1798722	-	1288	0	0	0	2	5	4
WBGene00022145	I	1799717	1806996	+	7280	0	0	0	1	2	4
WBGene00022144	I	1808092	1811835	+	3744	1	3	0	4	2	2
WBGene00022143	I	1812892	1813581	+	690	0	0	0	6	0	1
WBGene00044349	I	1813909	1816066	-	2158	0	0	0	0	0	0
WBGene00022142	I	1816028	1818581	+	2554	0	0	0	0	0	0
WBGene00044347	I	1818504	1822948	-	4445	0	0	0	3	1	3
WBGene00022141	I	1823447	1825967	+	2521	2	10	3	1	2	1
WBGene00044746	I	1832167	1832421	-	255	0	0	0	1	0	0
WBGene00016907	I	1832897	1834763	+	1867	3	9	7	1	2	7
WBGene00004441	I	1834883	1835438	+	556	42	58	57	30	55	41
WBGene00001196	I	1835661	1841965	+	6305	2	3	3	6	9	11
WBGene00303070	I	1835780	1835872	+	93	0	0	0	0	1	0
WBGene00001309	I	1842445	1843227	+	783	4	1	4	1	0	0
WBGene00003750	I	1843384	1843959	+	576	0	0	1	1	1	1
WBGene00006461	I	1845200	1850523	+	5324	0	0	0	0	1	0
WBGene00044897	I	1851669	1853045	-	1377	0	0	0	0	0	0
WBGene00004743	I	1862607	1872306	-	9700	2	4	5	4	4	3
WBGene00022139	I	1874008	1884196	+	10189	4	4	0	4	1	2
WBGene00303094	I	1874110	1874139	+	30	0	0	0	0	0	0
WBGene00022140	I	1885161	1894910	-	9750	0	0	0	0	1	0
WBGene00022138	I	1895161	1923240	+	28080	8	3	5	11	7	8
WBGene00021768	I	1911684	1913935	-	2252	6	1	2	11	7	8
WBGene00021766	I	1924300	1932260	+	7961	6	6	0	3	1	1
WBGene00021765	I	1932346	1945220	+	12875	4	1	1	2	0	2
WBGene00255420	I	1945814	1949520	-	3707	0	0	0	0	0	0
WBGene00021771	I	1950594	1958527	-	7934	1	0	4	2	1	1
WBGene00044438	I	1958707	1965066	+	6360	1	2	2	0	0	0
WBGene00021764	I	1967772	1973882	+	6111	4	4	3	2	1	3
WBGene00021763	I	1978030	1983412	+	5383	10	6	11	0	1	0
WBGene00021238	I	1988246	2010525	-	22280	2	2	3	2	0	2
WBGene00021237	I	2026316	2033748	+	7433	1	1	1	0	2	1
WBGene00021239	I	2034322	2043805	-	9484	3	0	1	0	1	0
WBGene00044435	I	2049140	2050177	-	1038	0	0	0	0	0	0
WBGene00021346	I	2061667	2063998	-	2332	0	1	0	2	1	3
WBGene00021347	I	2064293	2064686	+	394	1	3	0	1	4	1
WBGene00021348	I	2064976	2065481	+	506	3	1	4	0	1	2
WBGene00021349	I	2065692	2069098	+	3407	3	1	0	0	0	0
WBGene00004409	I	2069086	2069575	-	490	52	40	39	29	31	25
WBGene00021350	I	2069681	2070607	-	927	54	56	49	38	31	26
WBGene00004014	I	2071352	2072547	+	1196	8	12	11	9	9	5
WBGene00021351	I	2072680	2076925	+	4246	12	10	6	4	8	4
WBGene00021352	I	2078955	2085680	+	6726	0	3	2	6	5	4
WBGene00021353	I	2085605	2093796	-	8192	0	0	0	0	0	0
WBGene00003799	I	2097346	2123443	+	26098	12	9	7	6	6	8
WBGene00044810	I	2107402	2108902	-	1501	0	0	0	3	1	1
WBGene00021354	I	2113656	2118530	-	4875	4	1	1	1	5	5
WBGene00021355	I	2128588	2145971	+	17384	12	15	12	5	9	14
WBGene00235158	I	2149825	2151826	-	2002	0	0	0	0	0	0
WBGene00021009	I	2160038	2209644	+	49607	3	11	6	0	1	6
WBGene00021008	I	2216098	2219487	+	3390	0	0	1	0	0	0
WBGene00021005	I	2219468	2222313	-	2846	6	3	6	0	0	0
WBGene00001542	I	2223353	2233099	-	9747	0	0	0	0	0	0
WBGene00021006	I	2233744	2234957	-	1214	0	0	0	4	1	3
WBGene00021007	I	2235602	2241252	-	5651	0	0	0	17	11	6
WBGene00017399	I	2242230	2247223	+	4994	0	0	0	0	0	0
WBGene00017398	I	2250131	2254908	+	4778	0	0	1	0	2	2
WBGene00000020	I	2255921	2272866	-	16946	1	3	0	2	1	2
WBGene00021458	I	2279845	2280800	+	956	0	0	0	0	0	0
WBGene00000408	I	2281503	2291205	-	9703	4	1	2	2	0	3
WBGene00021469	I	2293127	2297328	+	4202	1	4	0	5	6	4
WBGene00021470	I	2297392	2304397	-	7006	17	20	14	5	4	5
WBGene00021468	I	2300086	2302813	+	2728	1	2	2	0	0	1
WBGene00002047	I	2304513	2306790	-	2278	8	6	2	1	2	1
WBGene00021467	I	2307267	2308975	+	1709	8	3	4	3	2	1
WBGene00021476	I	2308976	2312129	+	3154	0	2	3	0	1	1
WBGene00021475	I	2312496	2312958	+	463	3	1	0	1	0	2
WBGene00021466	I	2313271	2315992	+	2722	15	18	15	9	8	7
WBGene00021465	I	2316307	2318305	+	1999	2	1	4	1	1	1
WBGene00003156	I	2318291	2321817	-	3527	16	14	12	2	0	0
WBGene00219275	I	2322025	2322596	-	572	2	1	0	0	0	0
WBGene00021471	I	2323992	2327329	-	3338	0	0	0	4	3	2
WBGene00021477	I	2327989	2330154	+	2166	0	0	0	0	1	0
WBGene00021472	I	2330895	2332652	-	1758	0	0	0	0	3	1
WBGene00021464	I	2333338	2338693	+	5356	0	0	0	0	0	0
WBGene00021463	I	2342216	2350536	+	8321	0	0	0	0	0	0
WBGene00077563	I	2352835	2356238	+	3404	0	0	0	1	3	0
WBGene00021461	I	2357883	2372985	+	15103	0	0	0	0	0	0
WBGene00021473	I	2377089	2381851	-	4763	1	0	0	0	0	0
WBGene00021474	I	2382953	2401492	-	18540	7	4	4	2	1	2
WBGene00021460	I	2402230	2409999	+	7770	5	5	11	5	4	5
WBGene00017741	I	2415131	2418543	+	3413	0	1	0	0	2	0
WBGene00017734	I	2418461	2420353	-	1893	6	12	7	7	11	5
WBGene00017735	I	2420834	2421816	-	983	7	4	2	2	6	3
WBGene00017736	I	2422153	2425185	-	3033	0	0	0	2	0	1
WBGene00017737	I	2429675	2432588	-	2914	0	0	0	0	3	1
WBGene00017738	I	2432590	2433615	-	1026	1	1	1	2	0	0
WBGene00017733	I	2434002	2435691	+	1690	3	10	6	9	1	3
WBGene00255457	I	2436471	2437084	-	614	0	0	0	0	0	0
WBGene00017732	I	2438765	2442958	+	4194	0	0	0	0	0	0
WBGene00002141	I	2451898	2464618	-	12721	0	0	0	0	0	0
WBGene00022280	I	2468793	2471935	-	3143	1	0	1	1	1	1
WBGene00022281	I	2472060	2485391	-	13332	1	1	0	20	16	6
WBGene00022282	I	2483203	2483652	+	450	0	0	0	19	14	5
WBGene00001232	I	2485861	2489787	+	3927	2	13	5	7	3	9
WBGene00021277	I	2489976	2497381	+	7406	3	10	5	2	3	3
WBGene00021276	I	2498134	2506259	+	8126	3	6	1	3	1	1
WBGene00021275	I	2533268	2542114	+	8847	0	0	0	1	3	2
WBGene00021274	I	2544749	2546195	+	1447	0	0	0	0	0	0
WBGene00021279	I	2546386	2548399	-	2014	0	0	0	0	0	0
WBGene00021280	I	2551375	2551590	-	216	0	0	1	0	0	0
WBGene00021272	I	2552734	2555408	+	2675	0	0	0	0	0	0
WBGene00194701	I	2556226	2557451	+	1226	0	0	0	0	0	1
WBGene00016950	I	2558176	2560189	+	2014	0	0	0	0	0	0
WBGene00016949	I	2560372	2561830	+	1459	0	0	0	0	0	1
WBGene00006047	I	2562668	2562997	+	330	0	0	0	5	5	3
WBGene00016948	I	2568860	2571059	+	2200	0	0	0	0	0	0
WBGene00000006	I	2571740	2576020	-	4281	0	0	0	0	0	0
WBGene00001404	I	2581015	2586124	-	5110	5	8	7	6	8	6
WBGene00004226	I	2587527	2595294	-	7768	0	0	0	1	1	2
WBGene00019461	I	2599979	2602650	+	2672	0	0	0	3	2	5
WBGene00000832	I	2606741	2617360	+	10620	1	1	0	0	0	0
WBGene00021271	I	2617529	2620430	+	2902	0	0	0	7	3	5
WBGene00021270	I	2620650	2621859	+	1210	6	1	1	4	1	1
WBGene00021269	I	2621957	2623186	+	1230	0	2	1	0	1	0
WBGene00000800	I	2623099	2628577	-	5479	8	12	5	8	7	8
WBGene00023172	I	2632987	2634561	+	1575	0	0	0	0	0	1
WBGene00018231	I	2638649	2639419	+	771	0	0	0	0	0	0
WBGene00018230	I	2642724	2643778	+	1055	3	2	2	1	2	2
WBGene00018232	I	2645266	2657245	-	11980	0	0	0	4	2	1
WBGene00018233	I	2650737	2651711	-	975	0	0	0	0	0	0
WBGene00017979	I	2668160	2672438	+	4279	2	2	1	2	2	4
WBGene00017980	I	2672940	2682797	-	9858	1	0	0	0	3	1
WBGene00000788	I	2686640	2689429	-	2790	18	15	13	21	30	18
WBGene00017978	I	2692109	2692399	+	291	0	0	0	8	8	8
WBGene00017977	I	2692757	2694084	+	1328	0	0	0	0	0	0
WBGene00017976	I	2697399	2699999	+	2601	0	0	0	0	0	0
WBGene00017975	I	2700420	2702158	+	1739	0	0	0	4	6	3
WBGene00003006	I	2706883	2717549	+	10667	0	0	0	1	1	1
WBGene00001048	I	2718027	2721475	-	3449	2	0	1	1	0	0
WBGene00022128	I	2721588	2726724	-	5137	3	0	0	2	0	0
WBGene00004920	I	2727014	2727545	+	532	5	2	5	1	1	1
WBGene00022127	I	2730004	2731453	+	1450	15	10	13	2	4	2
WBGene00022126	I	2731562	2735371	+	3810	5	3	0	2	2	0
WBGene00022129	I	2735353	2742508	-	7156	0	0	1	0	0	0
WBGene00004043	I	2755540	2758204	-	2665	4	2	5	11	3	5
WBGene00022130	I	2759023	2761044	-	2022	0	0	1	1	1	0
WBGene00004946	I	2761158	2776104	-	14947	10	7	7	3	4	1
WBGene00022125	I	2774912	2775421	+	510	1	1	0	0	2	0
WBGene00022131	I	2776364	2778719	-	2356	0	0	0	0	3	1
WBGene00022133	I	2780850	2784271	-	3422	0	0	0	1	0	1
WBGene00020990	I	2784620	2786077	-	1458	0	0	0	31	29	22
WBGene00255550	I	2787981	2788418	-	438	0	0	0	1	0	0
WBGene00020984	I	2788748	2790343	-	1596	0	1	0	1	1	1
WBGene00020989	I	2791687	2794976	+	3290	0	1	1	4	4	6
WBGene00020988	I	2796130	2797464	+	1335	0	0	0	0	0	0
WBGene00020985	I	2798175	2800878	-	2704	0	0	0	1	1	1
WBGene00002174	I	2802803	2815830	+	13028	1	0	2	3	0	3
WBGene00020987	I	2816415	2817689	+	1275	0	0	0	3	0	0
WBGene00044796	I	2818744	2820860	+	2117	0	0	0	0	0	0
WBGene00020986	I	2820789	2822134	-	1346	0	0	0	2	3	2
WBGene00004077	I	2822243	2830311	-	8069	0	1	2	0	0	2
WBGene00021125	I	2845859	2849903	+	4045	0	0	0	0	0	0
WBGene00021127	I	2851957	2853903	-	1947	0	0	0	0	0	0
WBGene00021128	I	2853970	2855732	-	1763	1	1	3	7	7	12
WBGene00044433	I	2858521	2859913	-	1393	0	0	0	0	0	0
WBGene00022115	I	2866506	2870172	+	3667	1	3	3	1	0	0
WBGene00022117	I	2870141	2875291	-	5151	1	6	4	1	0	3
WBGene00004412	I	2875398	2876308	-	911	55	71	71	43	63	54
WBGene00022114	I	2876932	2878523	+	1592	13	6	19	14	5	10
WBGene00022113	I	2878578	2880930	+	2353	0	1	1	0	2	0
WBGene00022118	I	2880876	2883454	-	2579	1	1	1	0	0	1
WBGene00000199	I	2883549	2893718	-	10170	5	6	5	2	3	1
WBGene00022112	I	2887800	2888354	+	555	0	0	0	0	0	0
WBGene00304792	I	2888900	2889355	+	456	0	0	0	0	0	0
WBGene00022111	I	2890446	2891261	+	816	0	0	0	0	0	0
WBGene00022119	I	2895329	2900860	-	5532	16	16	13	18	17	20
WBGene00001791	I	2901325	2903006	+	1682	0	2	0	1	0	0
WBGene00022110	I	2903635	2907757	+	4123	0	0	0	0	1	1
WBGene00004049	I	2907725	2925529	-	17805	0	4	3	5	3	5
WBGene00022108	I	2915176	2918861	+	3686	0	1	0	2	1	2
WBGene00022107	I	2925239	2928134	+	2896	1	0	3	2	0	0
WBGene00022122	I	2928395	2929628	+	1234	9	13	27	10	15	9
WBGene00003836	I	2929777	2931361	+	1585	2	3	2	0	0	1
WBGene00022121	I	2931461	2947106	+	15646	7	2	4	1	2	1
WBGene00306080	I	2939477	2940235	-	759	0	0	0	0	0	0
WBGene00045398	I	2940908	2941583	-	676	0	0	0	0	0	0
WBGene00284845	I	2948429	2948692	+	264	0	0	0	0	0	0
WBGene00000237	I	2949601	2957910	-	8310	1	1	0	1	3	1
WBGene00044894	I	2981657	2983076	-	1420	0	0	1	0	0	0
WBGene00022123	I	2983203	2985178	-	1976	0	0	0	0	0	1
WBGene00022124	I	2986104	2995914	-	9811	3	0	2	1	0	1
WBGene00001046	I	2996488	3001382	+	4895	2	4	0	5	0	4
WBGene00021839	I	3001406	3002847	-	1442	4	5	5	9	4	0
